Ticker,calendar_qtr_x,public_date,EV/EBITDA,P/E Ratio,P/S Ratio,Net Margin,EBITDA Margin,Return on Assets,Return on Equity,Debt-to-Equity,Interest Coverage,Quick Ratio,Current Ratio,Asset Turnover,Price-to-Book,date,Current Volume,predicted_volume
AAPL,2019Q1,2019-01-31,14.855,13.975,2.958,0.224,0.301,0.216,0.436,2.413,21.809,1.09,1.124,0.716,7.296,2019-01-31,40735850.0,32678838.0
TWLO,2019Q1,2019-01-31,-79.493,-113.59,16.007,-0.167,-0.116,-0.11,-0.247,0.842,-9.985,5.664,5.664,0.768,20.446,2019-01-31,7323177.0,4419135.0
SQ,2019Q2,2019-04-30,841.452,-357.8,7.423,-0.012,0.009,0.011,-0.04,1.928,-1.774,2.045,2.073,1.206,21.702,2019-04-30,7192097.0,15731099.0
CSCO,2019Q2,2019-04-30,14.876,20.199,4.748,0.253,0.306,0.135,0.277,1.468,14.94,2.068,2.131,0.472,5.916,2019-04-30,20823819.0,17589442.0
CRM,2019Q2,2019-04-30,84.777,115.629,9.645,0.084,0.107,0.055,0.089,0.97,3.649,0.949,0.949,0.513,8.209,2019-04-30,3581801.0,2707730.0
GDDY,2019Q2,2019-04-30,32.398,181.111,5.375,0.029,0.157,0.07,0.1,6.634,1.853,0.757,0.757,0.45,15.714,2019-04-30,1001057.0,1366556.0
AKAM,2019Q2,2019-04-30,13.358,45.489,4.822,0.11,0.317,0.171,0.091,0.711,9.548,2.094,2.094,0.539,4.076,2019-04-30,2547826.0,4593421.0
HPE,2019Q2,2019-04-30,7.076,36.767,0.705,0.023,0.164,0.086,0.03,1.584,7.037,0.85,0.997,0.547,1.165,2019-04-30,10384858.0,6609889.0
MSFT,2019Q2,2019-04-30,17.356,30.302,8.448,0.283,0.422,0.196,0.401,2.002,14.354,3.016,3.065,0.464,10.625,2019-04-30,24156237.0,26797227.0
FB,2019Q2,2019-04-30,12.815,25.548,8.321,0.396,0.524,0.321,0.278,0.157,2768.11,7.194,7.194,0.614,5.479,2019-04-30,23493372.0,16040646.0
SPLK,2019Q2,2019-04-30,-105.11,-73.037,11.497,-0.153,-0.107,-0.059,-0.237,1.96,-5.842,3.233,3.233,0.551,13.634,2019-04-30,724676.0,1328713.0
QCOM,2019Q2,2019-04-30,20.03,55.929,4.889,0.097,0.233,0.089,0.116,2.755,4.594,2.301,2.438,0.444,28.949,2019-04-30,17576631.0,28195995.0
CDW,2019Q2,2019-04-30,12.101,25.203,0.949,0.04,0.077,0.178,0.56,6.35,6.654,1.192,1.355,2.3,13.804,2019-04-30,835596.0,720957.0
TISI,2019Q2,2019-04-30,13.715,-8.048,0.41,-0.051,0.047,0.057,-0.132,1.139,-0.213,2.189,2.536,1.226,1.104,2019-04-30,259909.0,450022.0
GOOGL,2019Q2,2019-04-30,18.081,27.436,2.624,0.225,0.295,0.188,0.185,0.311,152.388,3.887,3.919,0.636,2.007,2019-04-30,6657186.0,3716233.0
MU,2019Q2,2019-04-30,3.095,3.859,1.552,0.436,0.643,0.451,0.433,0.341,74.353,1.98,2.61,0.676,1.347,2019-04-30,16341925.0,17654337.0
TXN,2019Q2,2019-04-30,12.306,21.079,7.004,0.354,0.486,0.441,0.574,0.905,53.728,2.377,3.273,0.908,12.234,2019-04-30,4532412.0,3332428.0
SNPS,2019Q2,2019-04-30,21.742,31.368,5.725,0.186,0.201,0.109,0.181,0.753,24.299,0.761,0.763,0.529,4.806,2019-04-30,794883.0,677429.0
AMD,2019Q2,2019-04-30,33.563,86.344,4.615,0.052,0.091,0.146,0.355,2.599,4.099,1.358,1.784,1.6,23.402,2019-04-30,73152304.0,135997651.0
MTOR,2019Q2,2019-04-30,5.747,8.822,0.469,0.057,0.1,0.167,0.871,7.968,6.105,0.683,1.128,1.617,5.864,2019-04-30,1219222.0,1123634.0
AMZN,2019Q2,2019-04-30,31.654,95.656,4.073,0.043,0.107,0.169,0.273,2.735,8.639,0.855,1.098,1.584,21.059,2019-04-30,3506113.0,3118069.0
KLAC,2019Q2,2019-04-30,10.177,13.963,4.787,0.33,0.407,0.314,0.982,2.65,15.438,2.745,3.472,0.766,12.896,2019-04-30,1116490.0,824917.0
WDAY,2019Q2,2019-04-30,-171.34,-106.54,11.731,-0.148,-0.086,-0.046,-0.236,1.819,-6.155,1.111,1.111,0.539,16.89,2019-04-30,962576.0,1102686.0
ENPH,2019Q2,2019-04-30,34.307,-83.667,3.5,-0.037,0.057,0.071,-0.77,42.716,0.775,1.4,1.511,1.242,45.933,2019-04-30,2658345.0,15845209.0
VMW,2019Q2,2019-04-30,26.441,34.894,2.512,0.27,0.279,0.142,6.022,25.61,16.022,0.992,0.992,0.509,38.736,2019-04-30,754059.0,726517.0
INTC,2019Q2,2019-04-30,7.384,11.393,3.225,0.297,0.456,0.257,0.284,0.707,24.112,1.295,1.731,0.564,2.998,2019-04-30,27123092.0,20449918.0
PANW,2019Q2,2019-04-30,153.801,-51.2,9.161,-0.029,0.05,0.027,-0.083,4.215,0.085,1.756,1.756,0.488,22.166,2019-04-30,576974.0,621831.0
DOCU,2019Q2,2019-04-30,-22.794,-21.713,14.037,-0.608,-0.551,-0.346,-0.237,1.629,-39.151,1.907,1.907,0.627,15.907,2019-04-30,2240188.0,1499949.0
NOW,2019Q2,2019-04-30,302.647,-357.8,19.307,-0.01,0.041,0.03,-0.032,2.491,-0.785,1.165,1.165,0.717,45.329,2019-04-30,1522717.0,1528715.0
ADI,2019Q2,2019-04-30,14.654,27.875,6.906,0.253,0.445,0.133,0.135,0.899,8.008,1.215,1.671,0.297,3.086,2019-04-30,2624178.0,1600851.0
AAPL,2019Q2,2019-04-30,12.647,4.126,3.532,0.227,0.303,0.213,0.484,2.119,19.945,1.229,1.285,0.718,7.832,2019-04-30,46544289.0,64824888.0
MDB,2019Q2,2019-04-30,-58.109,-74.168,22.083,-0.371,-0.337,-0.157,-0.637,1.772,-9.316,3.439,3.439,0.465,22.279,2019-04-30,1020025.0,1623214.0
ON,2019Q2,2019-04-30,7.192,16.014,1.618,0.107,0.227,0.181,0.207,1.385,6.737,1.322,2.156,0.795,2.948,2019-04-30,9874778.0,6940343.0
TSLA,2019Q2,2019-04-30,42.865,-41.729,1.932,-0.045,0.076,0.056,-0.213,4.758,-0.352,0.52,0.831,0.735,8.422,2019-04-30,9460447.0,10703655.0
INTU,2019Q2,2019-04-30,27.389,48.096,10.341,0.218,0.308,0.373,0.627,1.062,100.176,1.204,1.204,1.186,22.861,2019-04-30,1480526.0,1370602.0
ANET,2019Q2,2019-04-30,22.42,76.919,11.106,0.153,0.331,0.257,0.172,0.438,254.014,4.04,4.476,0.776,11.127,2019-04-30,1269938.0,853806.0
AVGO,2019Q2,2019-04-30,11.944,2.146,5.914,0.306,0.471,0.191,0.229,1.08,7.218,2.416,2.726,0.375,4.982,2019-04-30,1895157.0,1815793.0
TWLO,2019Q2,2019-04-30,-113.01,-108.84,23.244,-0.188,-0.128,-0.112,-0.303,1.347,-7.316,6.334,6.334,0.879,34.077,2019-04-30,5250281.0,14134120.0
ORCL,2019Q2,2019-04-30,14.442,20.342,4.802,0.27,0.423,0.127,0.262,2.559,6.544,3.923,3.212,0.319,7.974,2019-04-30,10562254.0,7792905.0
LRCX,2019Q2,2019-04-30,8.451,1.229,2.861,0.267,0.313,0.272,0.469,0.939,33.481,2.258,2.849,0.908,5.376,2019-04-30,1604466.0,1135879.0
ANSS,2019Q2,2019-04-30,22.166,40.123,12.703,0.324,0.417,0.174,0.17,0.233,5295.86,2.499,2.499,0.417,6.133,2019-04-30,406363.0,809587.0
NVDA,2019Q2,2019-04-30,21.679,27.3,9.408,0.353,0.351,0.335,0.492,0.423,66.345,6.758,7.944,0.955,11.775,2019-04-30,9072749.0,8856731.0
IBM,2019Q2,2019-04-30,8.443,14.75,1.563,0.11,0.219,0.14,0.452,6.338,8.74,1.242,1.286,0.64,6.069,2019-04-30,4638828.0,3053683.0
CTSH,2019Q2,2019-04-30,11.057,20.267,2.576,0.13,0.21,0.217,0.187,0.393,108.148,3.125,3.125,1.036,3.578,2019-04-30,3054810.0,3144238.0
ADBE,2019Q2,2019-04-30,39.053,53.565,14.776,0.281,0.344,0.205,0.301,0.87,25.765,1.403,1.403,0.555,14.118,2019-04-30,3067801.0,2051876.0
OKTA,2019Q2,2019-04-30,-88.919,-88.915,27.083,-0.314,-0.268,-0.174,-0.987,2.425,-7.864,1.257,1.257,0.648,42.721,2019-04-30,1466067.0,1782509.0
NFLX,2019Q2,2019-04-30,75.35,138.261,10.257,0.077,0.107,0.075,0.275,3.958,3.817,0.7,1.494,0.702,30.925,2019-04-30,3870014.0,9256384.0
WDC,2019Q2,2019-04-30,6.433,18.657,0.772,0.043,0.245,0.163,0.074,1.546,5.537,1.659,2.356,0.675,1.373,2019-04-30,18985562.0,7444302.0
CDNS,2019Q2,2019-04-30,23.333,56.407,9.12,0.162,0.253,0.221,0.303,0.916,18.46,1.302,1.341,0.875,15.127,2019-04-30,2153966.0,1648173.0
PYPL,2019Q2,2019-04-30,30.493,65.947,8.575,0.133,0.214,0.079,0.131,1.816,32.818,1.273,1.273,0.367,8.551,2019-04-30,6487362.0,5440508.0
NVDA,2019Q3,2019-07-31,37.574,0.797,9.577,0.307,0.3,0.251,0.372,0.443,52.143,6.789,7.776,0.797,10.566,2019-07-31,8984191.0,10526714.0
CDW,2019Q3,2019-07-31,12.693,26.916,1.031,0.04,0.077,0.177,0.55,6.152,6.796,1.17,1.351,2.246,16.132,2019-07-31,1101781.0,1310624.0
CSCO,2019Q3,2019-07-31,15.097,19.103,4.587,0.258,0.307,0.147,0.303,1.514,15.732,1.907,1.966,0.496,6.397,2019-07-31,17416208.0,18938938.0
TSLA,2019Q3,2019-07-31,36.084,-2.782,1.916,-0.043,0.08,0.063,-0.218,5.147,-0.188,0.446,0.802,0.78,9.397,2019-07-31,9178108.0,8259116.0
WDC,2019Q3,2019-07-31,7.876,97.982,0.881,0.011,0.19,0.12,0.018,1.562,3.324,1.547,2.29,0.64,1.556,2019-07-31,8556431.0,13357207.0
ORCL,2019Q3,2019-07-31,13.4,18.956,4.754,0.281,0.427,0.137,0.327,3.964,6.704,2.473,2.49,0.321,8.518,2019-07-31,11966713.0,10215157.0
ON,2019Q3,2019-07-31,7.857,15.475,1.5,0.102,0.236,0.188,0.191,1.358,6.75,1.231,2.041,0.789,2.715,2019-07-31,5515709.0,8893455.0
INTU,2019Q3,2019-07-31,27.24,46.922,10.843,0.235,0.318,0.398,0.6,0.863,117.875,1.442,1.442,1.19,17.671,2019-07-31,1143477.0,1270694.0
GOOGL,2019Q3,2019-07-31,18.614,1.528,2.569,0.197,0.302,0.197,0.166,0.315,147.199,4.006,4.037,0.623,1.975,2019-07-31,1999474.0,1770471.0
ANET,2019Q3,2019-07-31,25.77,3.74,9.213,0.169,0.339,0.273,0.201,0.467,368.27,3.815,4.241,0.755,8.729,2019-07-31,687413.0,1178836.0
AVGO,2019Q3,2019-07-31,12.779,3.558,5.292,0.16,0.472,0.181,0.124,1.447,5.528,1.62,1.828,0.358,4.801,2019-07-31,2081039.0,2188869.0
NFLX,2019Q3,2019-07-31,94.491,115.354,8.512,0.076,0.103,0.074,0.27,3.852,3.407,0.661,1.242,0.67,24.797,2019-07-31,6259394.0,6560956.0
ADBE,2019Q3,2019-07-31,38.073,55.757,14.363,0.262,0.342,0.2,0.287,0.929,22.155,1.026,1.026,0.551,14.413,2019-07-31,3065261.0,3206110.0
CRM,2019Q3,2019-07-31,65.477,105.102,8.588,0.083,0.129,0.068,0.084,0.93,3.748,0.899,0.899,0.482,7.317,2019-07-31,7454174.0,26124657.0
SPLK,2019Q3,2019-07-31,-84.259,-63.825,10.687,-0.163,-0.114,-0.068,-0.24,1.756,-4.323,3.044,3.044,0.504,14.361,2019-07-31,1264054.0,1206328.0
MSFT,2019Q3,2019-07-31,17.561,30.282,8.514,0.286,0.427,0.205,0.403,1.92,15.222,2.925,2.972,0.471,10.76,2019-07-31,38587596.0,40487315.0
GDDY,2019Q3,2019-07-31,36.591,146.76,4.708,0.032,0.148,0.067,0.109,7.011,1.723,0.753,0.753,0.449,12.59,2019-07-31,1681273.0,2642683.0
ANSS,2019Q3,2019-07-31,26.833,41.285,12.864,0.317,0.405,0.174,0.165,0.227,5295.86,2.472,2.472,0.417,6.274,2019-07-31,356951.0,471195.0
TWLO,2019Q3,2019-07-31,-87.007,-106.19,21.635,-0.179,-0.157,-0.135,-0.321,0.542,-7.526,6.458,6.458,0.423,4.886,2019-07-31,6113093.0,8147724.0
CTSH,2019Q3,2019-07-31,12.816,18.665,2.204,0.124,0.206,0.22,0.181,0.405,103.0,3.131,3.131,1.052,3.18,2019-07-31,5576656.0,6177572.0
LRCX,2019Q3,2019-07-31,8.73,1.302,2.892,0.256,0.302,0.263,0.438,1.035,29.296,2.41,3.057,0.885,5.694,2019-07-31,2652146.0,2968000.0
AAPL,2019Q3,2019-07-31,13.123,4.472,3.728,0.221,0.299,0.212,0.488,2.209,18.056,1.206,1.255,0.722,9.095,2019-07-31,69244350.0,54311222.0
MU,2019Q3,2019-07-31,3.111,5.238,1.837,0.374,0.613,0.373,0.312,0.307,80.82,1.938,2.645,0.594,1.403,2019-07-31,34436202.0,37871617.0
AMZN,2019Q3,2019-07-31,28.676,3.897,3.823,0.05,0.131,0.223,0.319,2.724,10.421,0.822,1.087,1.562,19.075,2019-07-31,4470527.0,4713011.0
OKTA,2019Q3,2019-07-31,-64.496,-94.804,31.634,-0.344,-0.301,-0.168,-0.611,2.488,-8.549,1.644,1.644,0.515,57.026,2019-07-31,1321512.0,1623923.0
IBM,2019Q3,2019-07-31,9.343,15.637,1.669,0.11,0.233,0.149,0.449,5.949,9.077,1.271,1.318,0.632,7.969,2019-07-31,3722907.0,6344006.0
ENPH,2019Q3,2019-07-31,27.776,-703.75,9.914,-0.011,0.079,0.1,-0.77,-297.68,1.368,1.367,1.49,1.15,57.026,2019-07-31,22303674.0,11801595.0
QCOM,2019Q3,2019-07-31,18.431,39.123,4.199,0.114,0.243,0.107,0.187,4.179,5.036,1.802,1.944,0.52,23.005,2019-07-31,14046752.0,30313625.0
AMD,2019Q3,2019-07-31,45.636,121.8,5.419,0.045,0.087,0.127,0.272,2.546,3.068,1.38,1.819,1.36,18.487,2019-07-31,119129900.0,80833624.0
VMW,2019Q3,2019-07-31,25.098,39.036,2.024,0.198,0.297,0.133,0.236,2.435,15.799,1.956,1.956,0.489,33.968,2019-07-31,987392.0,1145025.0
CDNS,2019Q3,2019-07-31,24.431,52.793,9.423,0.179,0.265,0.239,0.323,0.925,21.533,1.367,1.412,0.895,15.16,2019-07-31,1651583.0,2109372.0
INTC,2019Q3,2019-07-31,7.784,11.437,3.161,0.29,0.458,0.254,0.281,0.754,22.902,1.173,1.583,0.554,2.979,2019-07-31,24132251.0,33956169.0
SQ,2019Q3,2019-07-31,831.888,-618.54,7.534,-0.015,0.01,0.011,-0.051,2.422,-1.566,1.727,1.743,0.944,24.108,2019-07-31,7406911.0,16099736.0
HPE,2019Q3,2019-07-31,6.746,75.632,0.633,0.009,0.166,0.09,0.013,1.658,7.037,0.826,0.971,0.563,1.042,2019-07-31,8325299.0,7904119.0
PANW,2019Q3,2019-07-31,152.875,-65.098,7.9,-0.02,0.051,0.027,-0.054,3.939,0.022,1.937,1.937,0.467,14.958,2019-07-31,999808.0,1018498.0
AKAM,2019Q3,2019-07-31,14.427,41.768,5.231,0.128,0.327,0.171,0.106,0.653,8.909,2.253,2.253,0.509,4.359,2019-07-31,4724008.0,2956789.0
TISI,2019Q3,2019-07-31,19.455,-66.506,0.413,-0.062,0.041,0.049,-0.156,1.283,-0.347,2.203,2.545,1.191,1.133,2019-07-31,220545.0,270360.0
DOCU,2019Q3,2019-07-31,-54.97,-43.1,11.988,-0.265,-0.208,-0.123,-0.237,1.257,-11.2,2.222,2.222,0.486,15.118,2019-07-31,1980257.0,2099458.0
KLAC,2019Q3,2019-07-31,10.954,16.248,4.956,0.298,0.389,0.303,0.849,2.408,14.074,2.407,3.151,0.672,6.011,2019-07-31,1329304.0,2801133.0
NOW,2019Q3,2019-07-31,297.447,-1206.0,18.242,-0.014,0.044,0.034,-0.04,2.635,-0.843,1.206,1.206,0.733,42.875,2019-07-31,2097589.0,2759004.0
MTOR,2019Q3,2019-07-31,5.675,8.327,0.464,0.059,0.099,0.163,0.852,7.242,6.268,0.674,1.124,1.619,4.794,2019-07-31,1485689.0,1010687.0
ADI,2019Q3,2019-07-31,15.682,28.719,7.048,0.249,0.443,0.131,0.125,0.873,8.054,1.198,1.672,0.291,3.109,2019-07-31,2458689.0,2966521.0
SNPS,2019Q3,2019-07-31,23.818,33.61,6.178,0.187,0.197,0.106,0.177,0.707,24.399,0.765,0.812,0.528,5.106,2019-07-31,852651.0,755030.0
FB,2019Q3,2019-07-31,15.51,28.86,7.927,0.332,0.517,0.331,0.243,0.179,2768.11,7.494,7.494,0.605,5.401,2019-07-31,14602481.0,17782508.0
PYPL,2019Q3,2019-07-31,33.094,59.676,8.173,0.139,0.205,0.076,0.147,1.884,29.289,1.219,1.283,0.363,8.571,2019-07-31,10071502.0,9432230.0
MDB,2019Q3,2019-07-31,-57.39,-71.97,21.925,-0.345,-0.298,-0.148,-0.501,2.052,-6.637,3.433,3.433,0.437,27.079,2019-07-31,1534817.0,1263157.0
TXN,2019Q3,2019-07-31,13.986,22.688,7.487,0.348,0.483,0.42,0.53,0.854,46.757,3.131,4.14,0.87,13.631,2019-07-31,6597558.0,7966930.0
WDAY,2019Q3,2019-07-31,-135.45,-95.684,10.829,-0.152,-0.09,-0.054,-0.255,1.773,-7.374,1.272,1.272,0.574,16.039,2019-07-31,2145755.0,1669161.0
TWLO,2019Q4,2019-10-31,-81.872,-53.644,13.651,-0.231,-0.188,-0.093,-0.175,0.325,-9.305,7.486,7.486,0.313,2.794,2019-10-31,15362558.0,4935048.0
SQ,2019Q4,2019-10-31,687.152,-438.79,5.331,-0.014,0.012,0.013,-0.048,2.586,-1.287,1.569,1.584,0.968,17.77,2019-10-31,4416135.0,6184870.0
ON,2019Q4,2019-10-31,7.844,15.814,1.45,0.095,0.24,0.186,0.171,1.417,6.522,1.388,2.305,0.744,2.514,2019-10-31,6143518.0,4726332.0
NVDA,2019Q4,2019-10-31,41.068,1.134,12.079,0.269,0.262,0.198,0.293,0.435,41.714,7.052,8.086,0.731,11.876,2019-10-31,5240615.0,7087424.0
OKTA,2019Q4,2019-10-31,-81.313,-79.036,25.153,-0.319,-0.279,-0.159,-0.632,2.735,-8.797,1.349,1.349,0.528,44.212,2019-10-31,1412170.0,1338139.0
AMZN,2019Q4,2019-10-31,28.233,3.686,3.495,0.048,0.132,0.216,0.289,2.67,10.213,0.832,1.094,1.492,16.601,2019-10-31,2780085.0,2789954.0
MU,2019Q4,2019-10-31,4.388,8.63,2.249,0.27,0.545,0.277,0.185,0.335,32.143,1.782,2.583,0.507,1.467,2019-10-31,15436222.0,18287264.0
ANSS,2019Q4,2019-10-31,27.222,42.998,13.328,0.315,0.399,0.174,0.167,0.234,1557.6,2.378,2.378,0.421,6.495,2019-10-31,414364.0,788797.0
NFLX,2019Q4,2019-10-31,81.863,112.71,7.144,0.065,0.111,0.079,0.225,3.839,3.545,0.69,1.071,0.661,20.63,2019-10-31,5089291.0,5593487.0
PYPL,2019Q4,2019-10-31,35.227,49.571,7.48,0.154,0.203,0.076,0.165,1.941,26.879,1.245,1.245,0.36,7.574,2019-10-31,7196313.0,5484739.0
CDNS,2019Q4,2019-10-31,25.942,43.278,8.115,0.188,0.275,0.253,0.334,0.853,25.175,1.441,1.5,0.913,12.818,2019-10-31,1691130.0,2592501.0
QCOM,2019Q4,2019-10-31,19.401,28.626,4.49,0.164,0.241,0.121,0.424,8.737,5.244,1.444,1.603,0.607,16.86,2019-10-31,5683546.0,8604364.0
TISI,2019Q4,2019-10-31,17.73,-145.28,0.464,-0.032,0.044,0.051,-0.08,1.28,-0.156,2.098,2.429,1.171,1.208,2019-10-31,121788.0,152238.0
AMD,2019Q4,2019-10-31,63.427,188.5,6.432,0.033,0.077,0.101,0.151,2.114,2.45,1.444,1.923,1.241,19.877,2019-10-31,67837672.0,64202773.0
PANW,2019Q4,2019-10-31,172.519,-261.37,7.606,-0.028,0.047,0.022,-0.064,3.156,-0.206,1.785,1.785,0.467,13.903,2019-10-31,610742.0,1334637.0
MTOR,2019Q4,2019-10-31,5.688,6.842,0.41,0.063,0.1,0.163,0.825,6.212,6.429,0.686,1.147,1.616,3.713,2019-10-31,727264.0,601944.0
NOW,2019Q4,2019-10-31,297.657,428.015,15.486,0.001,0.047,0.037,0.003,2.589,-0.884,1.159,1.159,0.732,36.983,2019-10-31,1454764.0,2481196.0
SNPS,2019Q4,2019-10-31,24.241,33.272,6.175,0.189,0.209,0.113,0.175,0.643,32.042,0.804,0.881,0.532,5.188,2019-10-31,1059991.0,952201.0
TXN,2019Q4,2019-10-31,14.42,21.531,7.237,0.35,0.48,0.408,0.549,0.932,40.916,2.58,3.465,0.864,12.923,2019-10-31,4770117.0,4420779.0
AVGO,2019Q4,2019-10-31,13.746,4.102,5.217,0.135,0.466,0.17,0.116,1.81,4.208,1.345,1.503,0.339,5.015,2019-10-31,2787221.0,2118883.0
ANET,2019Q4,2019-10-31,24.573,1.702,7.933,0.309,0.345,0.271,0.355,0.404,587.208,4.488,5.004,0.747,7.422,2019-10-31,1921561.0,10490870.0
TSLA,2019Q4,2019-10-31,25.716,-5.425,2.276,-0.026,0.095,0.082,-0.147,4.781,0.467,0.53,0.883,0.833,9.932,2019-10-31,5069406.0,6383729.0
CDW,2019Q4,2019-10-31,13.134,27.807,1.079,0.041,0.077,0.178,0.585,6.537,6.882,1.15,1.327,2.261,17.351,2019-10-31,1671191.0,1063543.0
ORCL,2019Q4,2019-10-31,13.605,17.749,4.525,0.277,0.43,0.146,0.383,3.661,6.863,2.431,2.55,0.357,9.703,2019-10-31,8260599.0,7313584.0
SPLK,2019Q4,2019-10-31,-100.84,-57.673,9.148,-0.152,-0.099,-0.053,-0.225,2.022,-3.034,3.306,3.306,0.466,13.043,2019-10-31,927097.0,1320032.0
ADI,2019Q4,2019-10-31,16.564,26.791,6.474,0.245,0.442,0.127,0.116,0.857,7.917,1.128,1.603,0.284,2.821,2019-10-31,3843518.0,1989423.0
CRM,2019Q4,2019-10-31,58.433,130.408,9.318,0.064,0.143,0.072,0.063,0.937,4.507,0.938,0.938,0.476,7.995,2019-10-31,4578255.0,4771053.0
AKAM,2019Q4,2019-10-31,14.1,33.922,5.004,0.151,0.333,0.172,0.129,0.639,9.479,2.391,2.391,0.524,4.089,2019-10-31,1907091.0,1473074.0
GDDY,2019Q4,2019-10-31,39.126,203.219,4.077,0.02,0.137,0.063,0.064,6.425,1.607,0.785,0.785,0.453,10.933,2019-10-31,2083898.0,2070075.0
FSLY,2019Q4,2019-10-31,-41.767,-44.489,1.541,-0.243,-0.117,-0.121,-0.31,0.549,-9.842,3.937,3.937,0.744,0.976,2019-10-31,411779.0,364661.0
INTC,2019Q4,2019-10-31,7.668,13.177,3.494,0.281,0.461,0.253,0.267,0.744,22.144,1.144,1.56,0.545,3.205,2019-10-31,19220058.0,17923039.0
MDB,2019Q4,2019-10-31,-67.265,-60.269,17.571,-0.333,-0.282,-0.139,-0.502,2.035,-5.893,3.201,3.201,0.481,25.39,2019-10-31,837000.0,882584.0
ADBE,2019Q4,2019-10-31,36.354,49.366,12.64,0.261,0.347,0.201,0.29,0.979,20.318,0.84,0.84,0.546,12.971,2019-10-31,2834210.0,2821687.0
IBM,2019Q4,2019-10-31,10.063,13.829,1.521,0.112,0.227,0.142,0.464,6.502,8.656,1.411,1.457,0.587,6.712,2019-10-31,3412119.0,3089789.0
MSFT,2019Q4,2019-10-31,20.351,28.334,8.691,0.312,0.434,0.2,0.422,1.8,15.994,2.499,2.529,0.461,10.664,2019-10-31,24593590.0,33115486.0
GOOGL,2019Q4,2019-10-31,17.735,1.27,2.543,0.234,0.301,0.196,0.199,0.323,144.857,3.966,3.998,0.62,1.943,2019-10-31,1594248.0,1440607.0
ENPH,2019Q4,2019-10-31,24.565,215.889,5.878,0.026,0.118,0.158,1.032,9.237,3.162,1.642,1.763,1.103,20.277,2019-10-31,9050736.0,6988677.0
LRCX,2019Q4,2019-10-31,11.341,19.784,4.073,0.227,0.289,0.228,0.392,1.541,21.177,2.96,3.609,0.789,8.413,2019-10-31,2698175.0,1544380.0
CTSH,2019Q4,2019-10-31,12.414,16.881,2.028,0.126,0.199,0.211,0.185,0.424,103.037,2.95,2.95,1.048,3.148,2019-10-31,5744935.0,3498353.0
WDC,2019Q4,2019-10-31,10.999,-20.019,0.929,-0.046,0.135,0.08,-0.07,1.646,0.896,1.361,2.221,0.596,1.544,2019-10-31,22278865.0,9608649.0
WDAY,2019Q4,2019-10-31,-147.77,-73.045,8.346,-0.152,-0.087,-0.053,-0.26,1.776,-8.287,1.006,1.006,0.581,12.252,2019-10-31,1151895.0,1095510.0
KLAC,2019Q4,2019-10-31,14.012,22.569,5.838,0.257,0.348,0.217,0.472,2.381,11.473,1.726,2.44,0.625,7.935,2019-10-31,2591547.0,1461833.0
FB,2019Q4,2019-10-31,14.883,32.483,7.367,0.273,0.507,0.326,0.206,0.225,2768.11,5.963,5.963,0.602,5.196,2019-10-31,42281301.0,21705222.0
CRWD,2019Q4,2019-10-31,-54.177,-63.987,2.952,-0.431,-0.372,-0.293,0.519,1.368,-907.5,1.78,1.78,0.511,1.423,2019-10-31,1052805.0,1441165.0
AAPL,2019Q4,2019-10-31,13.201,5.284,4.267,0.215,0.296,0.214,0.499,2.285,17.728,1.256,1.298,0.738,11.459,2019-10-31,34783102.0,37774144.0
DOCU,2019Q4,2019-10-31,-50.072,-48.314,14.335,-0.282,-0.217,-0.115,-0.336,1.64,-9.045,2.01,2.01,0.484,20.781,2019-10-31,1190486.0,1789518.0
VMW,2019Q4,2019-10-31,26.057,10.297,1.746,0.66,0.285,0.146,1.162,3.295,15.452,1.449,1.449,0.534,3.316,2019-10-31,695884.0,838524.0
HPE,2019Q4,2019-10-31,6.549,-136.75,0.717,-0.007,0.17,0.094,-0.01,1.777,7.037,0.802,0.939,0.571,1.203,2019-10-31,5724941.0,6996903.0
INTU,2019Q4,2019-10-31,34.897,43.718,9.882,0.23,0.307,0.363,0.507,0.676,123.667,1.828,1.828,1.184,17.708,2019-10-31,889819.0,1107925.0
CSCO,2019Q4,2019-10-31,16.313,18.203,3.882,0.224,0.307,0.154,0.302,1.913,16.497,1.462,1.506,0.503,5.985,2019-10-31,12479192.0,24343083.0
UBER,2019Q4,2019-10-31,-5.532,-6.535,4.61,-0.699,-0.674,-0.324,-0.03,1.785,-11.512,2.124,2.124,0.439,3.152,2019-10-31,16130023.0,10460430.0
VMW,2020Q1,2020-01-31,27.015,9.534,1.575,0.638,0.27,0.151,1.528,4.939,14.199,0.85,0.85,0.574,2.799,2020-01-31,1151703.0,658083.0
NFLX,2020Q1,2020-01-31,60.925,110.252,8.022,0.075,0.13,0.092,0.256,3.781,4.093,0.723,0.91,0.661,22.069,2020-01-31,5211368.0,6662775.0
QCOM,2020Q1,2020-01-31,21.701,23.763,4.988,0.224,0.243,0.145,1.408,5.714,5.541,1.72,1.876,0.596,19.455,2020-01-31,9478842.0,7783654.0
MU,2020Q1,2020-01-31,5.443,17.237,2.858,0.17,0.462,0.204,0.101,0.331,29.19,1.764,2.524,0.429,1.616,2020-01-31,28514065.0,20457535.0
FB,2020Q1,2020-01-31,14.455,32.306,7.301,0.271,0.503,0.321,0.212,0.268,2768.11,5.177,5.177,0.594,5.168,2020-01-31,31316428.0,15489033.0
